Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
10% PCC,10,56,1,8.554,8.071,3.993,12.5224268017189,75777.4,6046.18,41.6869436316522,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.068506716673,0.0846356622640081
10% PCC,10,56,2,8.515,7.969,3.995,12.5349743227774,68157.0,73487.4,37.48911732649428,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,99.8912103782128,0.0852427352492788
10% PCC,10,56,3,8.5485,8.002,3.988,12.4910854880086,73487.4,5883.18,40.5630981933822,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,99.9536660750444,0.085524626916454
10% PCC,10,90,1,8.6425,8.167,3.988,12.4910854880086,77015.8,6163.36,42.4948712908944,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,102.014695180566,0.0847181867740015
10% PCC,10,90,2,8.613,8.15,3.974,12.403538725531,79697.156,6424.488,44.2952854725175,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.088840613077,0.0852022829400794
10% PCC,10,90,3,8.548,8.014,3.991,12.5098855638458,73455.1,5868.89,40.4645721117081,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,100.25422290866,0.0852632413079291
15% PCC,15,1,1,8.386,8.109,3.976,12.416026556329,25736.2,2072.82,14.2915908058578,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.681559345272,0.0832923134537629
15% PCC,15,1,2,8.3875,8.068,4.003,12.5852272388642,31335.1,2489.83,17.1667735433607,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,101.537613363156,0.0826048566849955
15% PCC,15,1,3,8.387,8.11,3.999,12.5600882144502,28215.1,2246.41,15.4884517238289,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,101.862315419191,0.0823366322028441
15% PCC,15,7,1,8.4215,8.023,3.981,12.447,51559.2,4142.21,28.5595325942109,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,99.8644762713899,0.084329286192959
15% PCC,15,7,2,8.462,8.017,3.98,12.441,46078.1,3699.4,25.506465118626,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,99.7396658979947,0.0848408697163094
15% PCC,15,7,3,8.393,8.043,3.96,12.316,4498.4,55417.9,2.518294910929055,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,99.0599996061501,0.0847264287640773
15% PCC,15,28,1,8.397,8.016,3.998,12.549,59879.7,4768.98,32.8809596208642,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.631320000865,0.0834432063489559
15% PCC,15,28,2,8.4515,8.01,3.994,12.522,62693.8,5003.44,34.4975044150776,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.354885212568,0.0842161294101261
15% PCC,15,28,3,8.4655,8.088,3.975,12.411,53282.2,4293.56,29.6030541100524,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.370315647541,0.0843426659105797
15% PCC,15,56,1,8.427,8.072,3.981,12.4472736222597,84356.3,6776.8,46.724391202872,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.474392678881,0.0838721168181923
15% PCC,15,56,2,8.2905,8.091,3.988,12.4910854880086,61710.3,4938.05,34.0466562358845,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,101.065372683477,0.0820310634579532
15% PCC,15,56,3,8.44,8.002,3.982,12.4535277478349,62212.8,4993.29,34.4275226285841,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,99.6531290381747,0.0846937781227806
15% PCC,15,90,1,8.2615,8.016,3.998,12.5538073853375,70791.7,5638.77,38.8779505641333,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.631320000865,0.0820967070682266
15% PCC,15,90,2,8.4515,8.088,3.975,12.4097818555318,68788.7,5543.11,38.2183980817719,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.370315647541,0.0842031824396981
15% PCC,15,90,3,8.373,8.0101,3.994,12.52869977685,75429.3,6020.52,41.5100241595908,41.024,79.8592,109.568,221.408,14.0928,0.51370411924988,330.976,0.494869200751554,465.952,0.0302451754687178,0.176470588235294,100.356138082546,0.0834328637986543
